snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time
0;-4.77121;1.22474;247;100;108;0.0714699;0.925926;0.00331079;3.06554e-05
1;-3.77121;1.09155;211;100;118;0.0558792;0.847458;0.00330755;2.80301e-05
2;-2.77121;0.972849;162;100;147;0.0344388;0.680272;0.00395762;2.69226e-05
3;-1.77121;0.867053;149;100;204;0.0228248;0.490196;0.00538314;2.63879e-05
4;-0.771212;0.772762;125;100;282;0.0138519;0.35461;0.0074392;2.63801e-05
5;0.228788;0.688725;110;100;626;0.00549121;0.159744;0.0165058;2.63671e-05
6;1.22879;0.613827;102;100;1655;0.00192598;0.060423;0.0434895;2.62777e-05
7;2.22879;0.547073;101;100;5091;0.000619967;0.0196425;0.134426;2.64046e-05
8;3.22879;0.48758;100;100;16158;0.000193403;0.00618888;0.425061;2.63066e-05
9;4.22879;0.434556;100;100;90689;3.44584e-05;0.00110267;2.38611;2.63109e-05
10;5.22879;0.387298;100;100;823740;3.79367e-06;0.000121398;21.6397;2.62701e-05
11;6.22879;0.34518;100;100;11786079;2.65143e-07;8.48459e-06;309.713;2.62779e-05
12;7.22879;0.307642;100;100;333439112;9.37203e-09;2.99905e-07;8761.86;2.62773e-05
