snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time
0;0;0.707107;276;100;103;0.0837379;0.970874;0.00243;2.35923e-05
1;1;0.63021;221;100;120;0.0575521;0.833333;0.00187952;1.56627e-05
2;2;0.561675;168;100;138;0.0380435;0.724638;0.00213115;1.54431e-05
3;3;0.500593;146;100;185;0.0246622;0.540541;0.00284256;1.53652e-05
4;4;0.446154;119;100;329;0.0113032;0.303951;0.00489796;1.48874e-05
5;5;0.397635;115;100;588;0.00611182;0.170068;0.00776622;1.32079e-05
6;6;0.354393;106;100;1256;0.00263734;0.0796178;0.0159619;1.27085e-05
7;7;0.315853;101;100;3784;0.000834104;0.0264271;0.0479471;1.2671e-05
8;8;0.281504;100;100;17023;0.000183575;0.00587441;0.216095;1.26943e-05
9;9;0.250891;100;100;99778;3.13195e-05;0.00100222;1.26615;1.26897e-05
10;10;0.223607;100;100;840925;3.71615e-06;0.000118917;10.6707;1.26892e-05
11;11;0.19929;100;100;11515283;2.71378e-07;8.68411e-06;146.138;1.26908e-05
12;12;0.177617;100;100;302292190;1.03377e-08;3.30806e-07;3834.66;1.26853e-05
