snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time
0;-6.0206;1.41421;302;100;106;0.089033;0.943396;0.00441807;4.16799e-05
1;-5.0206;1.26042;220;100;120;0.0572917;0.833333;0.00415454;3.46212e-05
2;-4.0206;1.12335;176;100;133;0.0413534;0.75188;0.00465488;3.49991e-05
3;-3.0206;1.00119;137;100;190;0.0225329;0.526316;0.0061467;3.23511e-05
4;-2.0206;0.892308;123;100;292;0.0131635;0.342466;0.00940281;3.22014e-05
5;-1.0206;0.795271;106;100;646;0.00512771;0.154799;0.0207912;3.21846e-05
6;-0.0205999;0.708786;102;100;1198;0.00266068;0.0834725;0.0386178;3.22353e-05
7;0.9794;0.631706;101;100;3884;0.000812629;0.0257467;0.124994;3.21818e-05
8;1.9794;0.563009;100;100;14879;0.000210028;0.00672088;0.479669;3.2238e-05
9;2.9794;0.501782;100;100;89378;3.49639e-05;0.00111884;2.8816;3.22406e-05
10;3.9794;0.447214;100;100;805953;3.8774e-06;0.000124077;25.9582;3.22081e-05
11;4.9794;0.39858;100;100;10358763;3.01677e-07;9.65366e-06;333.569;3.22016e-05
12;5.9794;0.355234;100;100;302568541;1.03282e-08;3.30504e-07;9745.88;3.22105e-05
