snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time
0;-3.0103;1;282;100;106;0.0831368;0.943396;0.00240587;2.26969e-05
1;-2.0103;0.891251;218;100;123;0.0553862;0.813008;0.00269714;2.1928e-05
2;-1.0103;0.794328;172;100;135;0.0398148;0.740741;0.0028743;2.12911e-05
3;-0.0103;0.707946;130;100;179;0.0226955;0.558659;0.00360626;2.01467e-05
4;0.9897;0.630957;119;100;327;0.0113723;0.30581;0.00636298;1.94587e-05
5;1.9897;0.562341;112;100;459;0.00762527;0.217865;0.00888469;1.93566e-05
6;2.9897;0.501187;105;100;1270;0.00258366;0.0787402;0.0245243;1.93105e-05
7;3.9897;0.446684;100;100;4053;0.000771034;0.0246731;0.0784879;1.93654e-05
8;4.9897;0.398107;100;100;17614;0.000177416;0.0056773;0.340283;1.93189e-05
9;5.9897;0.354813;100;100;91797;3.40425e-05;0.00108936;1.77326;1.93172e-05
10;6.9897;0.316228;100;100;847639;3.68671e-06;0.000117975;16.3759;1.93195e-05
11;7.9897;0.281838;100;100;13795497;2.26523e-07;7.24874e-06;266.139;1.92918e-05
12;8.9897;0.251189;100;100;278135218;1.12355e-08;3.59537e-07;5365.06;1.92894e-05
