snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;0;0.707107;255;100;105;0.0758929;0.952381;0.00229221;2.18306e-05;1.46583e+06
1;1;0.63021;231;100;119;0.0606618;0.840336;0.00280851;2.36009e-05;1.35588e+06
2;2;0.561675;166;100;142;0.0365317;0.704225;0.0028495;2.00669e-05;1.59466e+06
3;3;0.500593;148;100;196;0.0235969;0.510204;0.00404585;2.06421e-05;1.55023e+06
4;4;0.446154;127;100;293;0.0135452;0.341297;0.0059949;2.04604e-05;1.564e+06
5;5;0.397635;107;100;570;0.00586623;0.175439;0.0118624;2.08112e-05;1.53763e+06
6;6;0.354393;102;100;1137;0.00280343;0.0879508;0.0229167;2.01554e-05;1.58766e+06
7;7;0.315853;103;100;3790;0.000849274;0.0263852;0.065527;1.72894e-05;1.85084e+06
8;8;0.281504;100;100;15942;0.000196023;0.00627274;0.292783;1.83655e-05;1.7424e+06
9;9;0.250891;100;100;88045;3.54932e-05;0.00113578;1.47579;1.67617e-05;1.90911e+06
10;10;0.223607;100;100;902302;3.46336e-06;0.000110828;15.1463;1.67862e-05;1.90632e+06
11;11;0.19929;100;100;5821618;5.36792e-07;1.71774e-05;97.8185;1.68026e-05;1.90446e+06
12;12;0.177617;100;100;182401002;1.71326e-08;5.48243e-07;3062.42;1.67895e-05;1.90595e+06
