snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;0;0.707107;280;100;108;0.0810185;0.925926;0.00136783;1.26651e-05;2.52664e+06
1;1;0.63021;223;100;123;0.0566565;0.813008;0.000861727;7.00591e-06;4.56757e+06
2;2;0.561675;181;100;143;0.0395542;0.699301;0.000868576;6.07396e-06;5.26839e+06
3;3;0.500593;140;101;203;0.0215517;0.497537;0.00111067;5.47126e-06;5.84875e+06
4;4;0.446154;117;100;286;0.0127841;0.34965;0.00149266;5.2191e-06;6.13132e+06
5;5;0.397635;108;100;557;0.00605925;0.179533;0.00269773;4.84332e-06;6.60703e+06
6;6;0.354393;105;100;1379;0.00237944;0.0725163;0.00637758;4.62478e-06;6.91924e+06
7;7;0.315853;100;100;4482;0.000697233;0.0223115;0.0192662;4.29858e-06;7.44432e+06
8;8;0.281504;100;100;18338;0.000170411;0.00545316;0.0723862;3.94733e-06;8.10674e+06
9;9;0.250891;100;100;79630;3.9244e-05;0.00125581;0.278112;3.49256e-06;9.16234e+06
10;10;0.223607;100;100;934044;3.34567e-06;0.000107061;3.24321;3.47222e-06;9.216e+06
