snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;0;0.707107;257;100;108;0.0743634;0.925926;0.00160407;1.48525e-05;2.15451e+06
1;1;0.63021;238;100;118;0.0630297;0.847458;0.000800069;6.78025e-06;4.71959e+06
2;2;0.561675;180;100;132;0.0426136;0.757576;0.00120338;9.11655e-06;3.5101e+06
3;3;0.500593;144;100;203;0.0221675;0.492611;0.00139243;6.85928e-06;4.66522e+06
4;4;0.446154;126;100;274;0.0143704;0.364964;0.00144424;5.27095e-06;6.07102e+06
5;5;0.397635;112;100;644;0.00543478;0.15528;0.00228879;3.55402e-06;9.0039e+06
6;6;0.354393;103;100;1236;0.00260417;0.0809061;0.00445383;3.60342e-06;8.88044e+06
7;7;0.315853;102;100;3598;0.000885909;0.0277932;0.0120579;3.35128e-06;9.5486e+06
8;8;0.281504;100;100;14628;0.000213631;0.0068362;0.0469853;3.21201e-06;9.9626e+06
9;9;0.250891;100;100;74390;4.20083e-05;0.00134427;0.218923;2.94291e-06;1.08736e+07
10;10;0.223607;100;100;878974;3.55528e-06;0.000113769;2.57668;2.93147e-06;1.0916e+07
11;11;0.19929;100;100;5237013;5.96714e-07;1.90949e-05;15.3538;2.93179e-06;1.09148e+07
12;12;0.177617;100;100;211033237;1.48081e-08;4.73859e-07;623.482;2.95443e-06;1.08312e+07
