snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-6.0206;1.41421;738;100;100;0.230625;1;0.00549787;5.49787e-05;582044
1;-5.0206;1.26042;635;100;100;0.198437;1;0.00542426;5.42426e-05;589942
2;-4.0206;1.12335;513;100;102;0.157169;0.980392;0.00520934;5.1072e-05;626566
3;-3.0206;1.00119;416;100;102;0.127451;0.980392;0.00556853;5.45934e-05;586152
4;-2.0206;0.892308;254;100;106;0.0748821;0.943396;0.00539882;5.09323e-05;628285
5;-1.0206;0.795271;195;100;121;0.0503616;0.826446;0.0077559;6.40984e-05;499233
6;-0.0205999;0.708786;153;100;160;0.0298828;0.625;0.00910453;5.69033e-05;562358
7;0.9794;0.631706;132;100;243;0.0169753;0.411523;0.0123161;5.06836e-05;631368
8;1.9794;0.563009;114;100;407;0.00875307;0.2457;0.0195433;4.80178e-05;666419
9;2.9794;0.501782;104;100;1327;0.00244913;0.075358;0.0617643;4.65443e-05;687517
10;3.9794;0.447214;101;100;4118;0.000766452;0.0242836;0.181526;4.40811e-05;725934
