snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;0;0.707107;268;100;103;0.0813107;0.970874;0.00141986;1.3785e-05;2.32136e+06
1;1;0.63021;230;100;118;0.060911;0.847458;0.00175834;1.49012e-05;2.14748e+06
2;2;0.561675;164;100;134;0.0382463;0.746269;0.00167507;1.25005e-05;2.55989e+06
3;3;0.500593;150;100;209;0.0224282;0.478469;0.00232418;1.11205e-05;2.87757e+06
4;4;0.446154;120;100;263;0.0142586;0.380228;0.00340124;1.29325e-05;2.47439e+06
5;5;0.397635;105;100;521;0.00629798;0.191939;0.0055283;1.06109e-05;3.01576e+06
6;6;0.354393;101;100;1301;0.00242602;0.076864;0.0160939;1.23704e-05;2.58681e+06
7;7;0.315853;101;100;4348;0.000725908;0.0229991;0.0494735;1.13784e-05;2.81233e+06
8;8;0.281504;100;100;17739;0.000176166;0.0056373;0.155866;8.78663e-06;3.6419e+06
9;9;0.250891;100;100;76653;4.07681e-05;0.00130458;0.664442;8.66818e-06;3.69166e+06
10;10;0.223607;100;100;879507;3.55313e-06;0.0001137;7.61132;8.65407e-06;3.69768e+06
