snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-3.0103;1;256;101;106;0.0754717;0.95283;0.00186773;1.76201e-05;1.81611e+06
1;-2.0103;0.891251;217;101;119;0.0569853;0.84874;0.000875576;7.35778e-06;4.34914e+06
2;-1.0103;0.794328;171;101;130;0.0411058;0.776923;0.00124458;9.57367e-06;3.3425e+06
3;-0.0103;0.707946;140;100;189;0.0231481;0.529101;0.00137223;7.26047e-06;4.40743e+06
4;0.9897;0.630957;115;100;288;0.0124783;0.347222;0.00190261;6.60629e-06;4.84387e+06
5;1.9897;0.562341;113;100;544;0.00649127;0.183824;0.00319292;5.86934e-06;5.45206e+06
6;2.9897;0.501187;102;100;1217;0.00261915;0.0821693;0.00676278;5.55692e-06;5.75858e+06
7;3.9897;0.446684;103;100;3496;0.000920695;0.0286041;0.0157699;4.51084e-06;7.09402e+06
8;4.9897;0.398107;100;100;16869;0.000185251;0.00592803;0.0745328;4.41833e-06;7.24255e+06
9;5.9897;0.354813;100;100;96443;3.24026e-05;0.00103688;0.430319;4.4619e-06;7.17184e+06
10;6.9897;0.316228;100;100;625249;4.99801e-06;0.000159936;2.7782;4.44336e-06;7.20176e+06
