snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-6.0206;1.41421;277;100;107;0.0808995;0.934579;0.0022445;2.09766e-05;1.52551e+06
1;-5.0206;1.26042;195;100;126;0.0483631;0.793651;0.00155049;1.23055e-05;2.60047e+06
2;-4.0206;1.12335;174;100;158;0.0344146;0.632911;0.00210776;1.33402e-05;2.39876e+06
3;-3.0206;1.00119;136;100;180;0.0236111;0.555556;0.00232473;1.29151e-05;2.47771e+06
4;-2.0206;0.892308;126;100;286;0.0137675;0.34965;0.00352448;1.23234e-05;2.59669e+06
5;-1.0206;0.795271;107;100;567;0.00589727;0.176367;0.00595683;1.05059e-05;3.04592e+06
6;-0.0205999;0.708786;103;100;1184;0.00271854;0.0844595;0.0132894;1.12242e-05;2.85098e+06
7;0.9794;0.631706;103;100;3023;0.00106475;0.0330797;0.0307966;1.01874e-05;3.14113e+06
8;1.9794;0.563009;100;100;9066;0.000344694;0.0110302;0.0891879;9.83762e-06;3.25282e+06
9;2.9794;0.501782;101;100;35797;8.81708e-05;0.00279353;0.322908;9.02054e-06;3.54746e+06
10;3.9794;0.447214;100;100;201948;1.54743e-05;0.000495177;1.81271;8.97613e-06;3.56501e+06
