snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-6.0206;1.41421;270;100;108;0.078125;0.925926;0.00302949;2.80508e-05;1.14079e+06
1;-5.0206;1.26042;220;100;126;0.0545635;0.793651;0.00242402;1.92383e-05;1.66335e+06
2;-4.0206;1.12335;163;100;131;0.0388836;0.763359;0.00245071;1.87077e-05;1.71052e+06
3;-3.0206;1.00119;148;100;189;0.0244709;0.529101;0.0035609;1.88407e-05;1.69845e+06
4;-2.0206;0.892308;114;100;299;0.0119147;0.334448;0.00601145;2.01052e-05;1.59163e+06
5;-1.0206;0.795271;112;100;536;0.00652985;0.186567;0.0106607;1.98894e-05;1.6089e+06
6;-0.0205999;0.708786;106;100;1077;0.00307567;0.0928505;0.0204403;1.89789e-05;1.68608e+06
7;0.9794;0.631706;102;100;2996;0.00106392;0.0333778;0.0499038;1.66568e-05;1.92114e+06
8;1.9794;0.563009;100;100;9516;0.000328394;0.0105086;0.148276;1.55818e-05;2.05368e+06
9;2.9794;0.501782;100;100;40713;7.67568e-05;0.00245622;0.6011;1.47643e-05;2.16739e+06
10;3.9794;0.447214;100;100;189705;1.64729e-05;0.000527134;2.78406;1.46757e-05;2.18047e+06
