snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;0;0.707107;301;100;108;0.0870949;0.925926;0.00137403;1.27225e-05;2.51522e+06
1;1;0.63021;228;100;116;0.0614224;0.862069;0.00101549;8.75425e-06;3.65537e+06
2;2;0.561675;170;101;138;0.0384964;0.731884;0.00123403;8.94225e-06;3.57852e+06
3;3;0.500593;137;100;183;0.0233948;0.546448;0.00149167;8.15121e-06;3.9258e+06
4;4;0.446154;129;100;305;0.0132172;0.327869;0.00253923;8.32534e-06;3.84369e+06
5;5;0.397635;108;100;505;0.00668317;0.19802;0.00385931;7.6422e-06;4.18728e+06
6;6;0.354393;104;100;1299;0.00250192;0.0769823;0.00876816;6.74993e-06;4.74079e+06
7;7;0.315853;101;100;3946;0.000799861;0.0253421;0.0242934;6.15646e-06;5.19779e+06
8;8;0.281504;100;100;15647;0.000199719;0.006391;0.0965274;6.16906e-06;5.18717e+06
9;9;0.250891;100;100;81946;3.81349e-05;0.00122032;0.477835;5.8311e-06;5.48782e+06
10;10;0.223607;100;100;769570;4.06071e-06;0.000129943;4.48678;5.83024e-06;5.48863e+06
