snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-6.0206;1.41421;760;100;100;0.2375;1;0.00293358;2.93358e-05;1.09082e+06
1;-5.0206;1.26042;599;100;100;0.187187;1;0.00255981;2.55981e-05;1.25009e+06
2;-4.0206;1.12335;466;100;100;0.145625;1;0.00266285;2.66285e-05;1.20172e+06
3;-3.0206;1.00119;362;100;105;0.107738;0.952381;0.00267811;2.55058e-05;1.25461e+06
4;-2.0206;0.892308;269;100;113;0.0743916;0.884956;0.00314428;2.78254e-05;1.15003e+06
5;-1.0206;0.795271;216;100;119;0.0567227;0.840336;0.00279345;2.34743e-05;1.36319e+06
6;-0.0205999;0.708786;148;100;157;0.0294586;0.636943;0.0036018;2.29414e-05;1.39486e+06
7;0.9794;0.631706;120;100;244;0.0153689;0.409836;0.00561537;2.30138e-05;1.39047e+06
8;1.9794;0.563009;111;100;518;0.00669643;0.19305;0.0122361;2.36219e-05;1.35468e+06
9;2.9794;0.501782;106;100;1000;0.0033125;0.1;0.0241071;2.41071e-05;1.32741e+06
10;3.9794;0.447214;100;100;3561;0.000877563;0.028082;0.0802261;2.25291e-05;1.42039e+06
