snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-3.0103;1;297;100;113;0.082135;0.884956;0.00218386;1.93262e-05;1.65579e+06
1;-2.0103;0.891251;224;100;123;0.0569106;0.813008;0.00242819;1.97413e-05;1.62096e+06
2;-1.0103;0.794328;178;100;139;0.040018;0.719424;0.00198465;1.42781e-05;2.2412e+06
3;-0.0103;0.707946;139;100;196;0.022162;0.510204;0.00342054;1.74517e-05;1.83363e+06
4;0.9897;0.630957;129;100;317;0.0127169;0.315457;0.00450359;1.42069e-05;2.25243e+06
5;1.9897;0.562341;111;100;576;0.00602214;0.173611;0.00813495;1.41232e-05;2.26578e+06
6;2.9897;0.501187;106;100;1215;0.00272634;0.0823045;0.0167371;1.37754e-05;2.32299e+06
7;3.9897;0.446684;100;100;3728;0.000838251;0.026824;0.0500618;1.34286e-05;2.38298e+06
8;4.9897;0.398107;100;100;17603;0.000177527;0.00568085;0.229752;1.30519e-05;2.45176e+06
9;5.9897;0.354813;100;100;78342;3.98892e-05;0.00127645;1.03395;1.31979e-05;2.42463e+06
10;6.9897;0.316228;100;100;674487;4.63315e-06;0.000148261;8.94528;1.32623e-05;2.41285e+06
