snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-6.0206;1.41421;277;100;109;0.0794151;0.917431;0.00295896;2.71464e-05;1.17879e+06
1;-5.0206;1.26042;213;100;110;0.0605114;0.909091;0.00288686;2.62442e-05;1.21932e+06
2;-4.0206;1.12335;182;100;153;0.0371732;0.653595;0.00411321;2.68837e-05;1.19031e+06
3;-3.0206;1.00119;139;100;187;0.0232286;0.534759;0.004674;2.49946e-05;1.28028e+06
4;-2.0206;0.892308;130;100;291;0.0139605;0.343643;0.00752114;2.58458e-05;1.23811e+06
5;-1.0206;0.795271;111;100;574;0.00604312;0.174216;0.0138594;2.41452e-05;1.32531e+06
6;-0.0205999;0.708786;104;100;1137;0.0028584;0.0879508;0.0271566;2.38844e-05;1.33978e+06
7;0.9794;0.631706;101;100;2833;0.0011141;0.0352983;0.064576;2.27942e-05;1.40387e+06
8;1.9794;0.563009;101;100;10474;0.000301341;0.00954745;0.235014;2.24378e-05;1.42616e+06
9;2.9794;0.501782;100;100;40605;7.6961e-05;0.00246275;0.900898;2.21869e-05;1.44229e+06
10;3.9794;0.447214;100;100;217539;1.43652e-05;0.000459688;4.78399;2.19914e-05;1.45511e+06
