snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-4.77121;1.22474;263;100;111;0.0740428;0.900901;0.00176301;1.5883e-05;2.01474e+06
1;-3.77121;1.09155;208;100;113;0.0575221;0.884956;0.00134574;1.19092e-05;2.68699e+06
2;-2.77121;0.972849;170;100;147;0.0361395;0.680272;0.00159497;1.08501e-05;2.94927e+06
3;-1.77121;0.867053;143;100;212;0.021079;0.471698;0.00197921;9.33589e-06;3.42763e+06
4;-0.771212;0.772762;121;100;313;0.0120807;0.319489;0.00340915;1.08919e-05;2.93798e+06
5;0.228788;0.688725;111;100;575;0.00603261;0.173913;0.00518877;9.02394e-06;3.54612e+06
6;1.22879;0.613827;103;100;993;0.00324144;0.100705;0.00887853;8.94112e-06;3.57897e+06
7;2.22879;0.547073;101;100;2846;0.00110901;0.035137;0.0238009;8.36292e-06;3.82641e+06
8;3.22879;0.48758;101;100;7941;0.000397463;0.0125929;0.058446;7.36003e-06;4.34781e+06
9;4.22879;0.434556;100;100;27399;0.000114055;0.00364977;0.196954;7.18836e-06;4.45164e+06
10;5.22879;0.387298;100;100;133042;2.34888e-05;0.000751642;0.957211;7.1948e-06;4.44766e+06
