snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-6.0206;1.41421;258;100;114;0.0707237;0.877193;0.00215682;1.89194e-05;1.69138e+06
1;-5.0206;1.26042;205;101;116;0.0552263;0.87069;0.00167507;1.44403e-05;2.21603e+06
2;-4.0206;1.12335;165;100;134;0.0384795;0.746269;0.00204593;1.52681e-05;2.09587e+06
3;-3.0206;1.00119;136;100;186;0.0228495;0.537634;0.00313109;1.68338e-05;1.90093e+06
4;-2.0206;0.892308;123;100;283;0.0135822;0.353357;0.00380398;1.34416e-05;2.38066e+06
5;-1.0206;0.795271;111;100;550;0.00630682;0.181818;0.00821438;1.49352e-05;2.14258e+06
6;-0.0205999;0.708786;104;100;1093;0.00297347;0.0914913;0.0146888;1.34389e-05;2.38114e+06
7;0.9794;0.631706;101;100;3684;0.000856745;0.0271444;0.0431385;1.17097e-05;2.73278e+06
8;1.9794;0.563009;100;100;9822;0.000318163;0.0101812;0.120868;1.23058e-05;2.6004e+06
9;2.9794;0.501782;100;100;37222;8.39557e-05;0.00268658;0.418569;1.12452e-05;2.84566e+06
10;3.9794;0.447214;100;100;194953;1.60295e-05;0.000512944;2.18045;1.11845e-05;2.8611e+06
