snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-3.0103;1;268;100;105;0.0797619;0.952381;0.00271319;2.58399e-05;1.2384e+06
1;-2.0103;0.891251;217;100;122;0.055584;0.819672;0.00147404;1.20823e-05;2.64851e+06
2;-1.0103;0.794328;165;100;151;0.0341474;0.662252;0.00181357;1.20104e-05;2.66436e+06
3;-0.0103;0.707946;132;101;178;0.0231742;0.567416;0.00214158;1.20314e-05;2.65971e+06
4;0.9897;0.630957;119;100;312;0.0119191;0.320513;0.00326044;1.04501e-05;3.06216e+06
5;1.9897;0.562341;113;100;481;0.00734148;0.2079;0.00498325;1.03602e-05;3.08874e+06
6;2.9897;0.501187;102;100;1201;0.00265404;0.0832639;0.0120427;1.00272e-05;3.19132e+06
7;3.9897;0.446684;100;100;5012;0.000623504;0.0199521;0.044343;8.84737e-06;3.6169e+06
8;4.9897;0.398107;100;100;17307;0.000180563;0.00577801;0.15419;8.90909e-06;3.59184e+06
9;5.9897;0.354813;100;100;74469;4.19638e-05;0.00134284;0.659161;8.85148e-06;3.61521e+06
10;6.9897;0.316228;100;100;545664;5.72697e-06;0.000183263;4.85854;8.9039e-06;3.59393e+06
