snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-3.0103;1;285;100;107;0.083236;0.934579;0.00142498;1.33176e-05;2.40284e+06
1;-2.0103;0.891251;195;100;112;0.0544085;0.892857;0.000933218;8.3323e-06;3.84047e+06
2;-1.0103;0.794328;189;100;140;0.0421875;0.714286;0.001218;8.69997e-06;3.67817e+06
3;-0.0103;0.707946;142;100;197;0.0225254;0.507614;0.0015087;7.65835e-06;4.17845e+06
4;0.9897;0.630957;121;100;303;0.0124794;0.330033;0.00222584;7.34601e-06;4.3561e+06
5;1.9897;0.562341;116;100;522;0.00694444;0.191571;0.0035873;6.87222e-06;4.65643e+06
6;2.9897;0.501187;106;100;1286;0.00257582;0.0777605;0.00848054;6.59451e-06;4.85252e+06
7;3.9897;0.446684;101;100;4020;0.000785137;0.0248756;0.0248114;6.17198e-06;5.18472e+06
8;4.9897;0.398107;100;100;14784;0.000211377;0.00676407;0.0789091;5.33746e-06;5.99536e+06
9;5.9897;0.354813;100;100;83968;3.72166e-05;0.00119093;0.457576;5.44941e-06;5.8722e+06
10;6.9897;0.316228;100;100;630909;4.95317e-06;0.000158501;3.40189;5.39204e-06;5.93467e+06
