snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-6.0206;1.41421;763;100;100;0.238438;1;0.00242687;2.42687e-05;1.31857e+06
1;-5.0206;1.26042;652;100;100;0.20375;1;0.00246435;2.46435e-05;1.29852e+06
2;-4.0206;1.12335;448;100;100;0.14;1;0.00267232;2.67232e-05;1.19746e+06
3;-3.0206;1.00119;381;100;105;0.113393;0.952381;0.00203617;1.93921e-05;1.65016e+06
4;-2.0206;0.892308;249;101;109;0.0713876;0.926606;0.00219381;2.01267e-05;1.58993e+06
5;-1.0206;0.795271;212;100;121;0.0547521;0.826446;0.00252697;2.08841e-05;1.53227e+06
6;-0.0205999;0.708786;156;100;190;0.0256579;0.526316;0.00409925;2.1575e-05;1.4832e+06
7;0.9794;0.631706;129;100;224;0.0179967;0.446429;0.00484696;2.16382e-05;1.47886e+06
8;1.9794;0.563009;111;100;442;0.00784785;0.226244;0.00924952;2.09265e-05;1.52916e+06
9;2.9794;0.501782;104;100;1264;0.0025712;0.0791139;0.0224273;1.77431e-05;1.80352e+06
10;3.9794;0.447214;102;100;3843;0.00082943;0.0260213;0.0585146;1.52263e-05;2.10163e+06
