snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-6.0206;1.41421;773;100;100;0.241563;1;0.00245945;2.45945e-05;1.3011e+06
1;-5.0206;1.26042;622;100;101;0.19245;0.990099;0.00163721;1.621e-05;1.97409e+06
2;-4.0206;1.12335;503;100;100;0.157188;1;0.0016038;1.6038e-05;1.99526e+06
3;-3.0206;1.00119;370;100;100;0.115625;1;0.00181898;1.81898e-05;1.75923e+06
4;-2.0206;0.892308;276;101;106;0.0813679;0.95283;0.00177613;1.67559e-05;1.90977e+06
5;-1.0206;0.795271;207;100;124;0.0521673;0.806452;0.00211185;1.70311e-05;1.87892e+06
6;-0.0205999;0.708786;158;100;165;0.0299242;0.606061;0.00266762;1.61674e-05;1.97929e+06
7;0.9794;0.631706;115;100;248;0.0144909;0.403226;0.00435616;1.75652e-05;1.82179e+06
8;1.9794;0.563009;116;100;478;0.00758368;0.209205;0.00727918;1.52284e-05;2.10134e+06
9;2.9794;0.501782;102;100;1235;0.00258097;0.0809717;0.016032;1.29814e-05;2.46507e+06
10;3.9794;0.447214;100;100;4066;0.000768569;0.0245942;0.0503902;1.23931e-05;2.58209e+06
