snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-4.77121;1.22474;279;100;112;0.077846;0.892857;0.0018048;1.61143e-05;1.98581e+06
1;-3.77121;1.09155;209;100;123;0.0530996;0.813008;0.00150911;1.22692e-05;2.60816e+06
2;-2.77121;0.972849;175;100;134;0.0408116;0.746269;0.0017256;1.28776e-05;2.48493e+06
3;-1.77121;0.867053;137;100;192;0.0222982;0.520833;0.00238095;1.24008e-05;2.58048e+06
4;-0.771212;0.772762;119;100;278;0.0133768;0.359712;0.00331638;1.19294e-05;2.68244e+06
5;0.228788;0.688725;114;100;654;0.00544725;0.152905;0.00780112;1.19283e-05;2.68269e+06
6;1.22879;0.613827;105;100;1196;0.00274352;0.083612;0.0128067;1.07079e-05;2.98844e+06
7;2.22879;0.547073;100;100;3143;0.000994273;0.0318167;0.0297666;9.47077e-06;3.37882e+06
8;3.22879;0.48758;100;100;7928;0.000394173;0.0126135;0.0727339;9.17431e-06;3.488e+06
9;4.22879;0.434556;101;100;29939;0.000105423;0.00334012;0.277097;9.2554e-06;3.45744e+06
10;5.22879;0.387298;100;100;135229;2.31089e-05;0.000739486;1.20931;8.94269e-06;3.57834e+06
