snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-4.77121;1.22474;251;100;105;0.0747024;0.952381;0.00203576;1.93881e-05;1.65049e+06
1;-3.77121;1.09155;211;100;125;0.05275;0.8;0.00199931;1.59944e-05;2.00069e+06
2;-2.77121;0.972849;166;100;146;0.0355308;0.684932;0.00239657;1.64148e-05;1.94945e+06
3;-1.77121;0.867053;132;100;174;0.0237069;0.574713;0.00260541;1.49736e-05;2.13709e+06
4;-0.771212;0.772762;116;100;275;0.0131818;0.363636;0.00440749;1.60272e-05;1.9966e+06
5;0.228788;0.688725;114;100;518;0.00687741;0.19305;0.00789027;1.52322e-05;2.10081e+06
6;1.22879;0.613827;103;100;879;0.00366183;0.113766;0.0133145;1.51473e-05;2.11258e+06
7;2.22879;0.547073;102;100;2349;0.00135696;0.0425713;0.0321227;1.36751e-05;2.34003e+06
8;3.22879;0.48758;100;100;9396;0.000332588;0.0106428;0.115234;1.22641e-05;2.60924e+06
9;4.22879;0.434556;100;100;27514;0.000113579;0.00363451;0.325582;1.18333e-05;2.70423e+06
10;5.22879;0.387298;100;100;134182;2.32893e-05;0.000745256;1.57587;1.17443e-05;2.72472e+06
