snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-4.77121;1.22474;261;100;112;0.0728237;0.892857;0.00256061;2.28626e-05;1.39967e+06
1;-3.77121;1.09155;228;100;114;0.0625;0.877193;0.00268618;2.3563e-05;1.35806e+06
2;-2.77121;0.972849;171;100;147;0.036352;0.680272;0.003078;2.09388e-05;1.52826e+06
3;-1.77121;0.867053;136;100;171;0.0248538;0.584795;0.00356986;2.08764e-05;1.53283e+06
4;-0.771212;0.772762;124;100;254;0.0152559;0.393701;0.00545086;2.14601e-05;1.49114e+06
5;0.228788;0.688725;115;100;448;0.00802176;0.223214;0.00888129;1.98243e-05;1.61418e+06
6;1.22879;0.613827;107;100;1182;0.00282889;0.0846024;0.0229882;1.94486e-05;1.64537e+06
7;2.22879;0.547073;101;100;2800;0.00112723;0.0357143;0.0505346;1.80481e-05;1.77304e+06
8;3.22879;0.48758;100;100;7864;0.00039738;0.0127162;0.140717;1.78938e-05;1.78833e+06
9;4.22879;0.434556;100;100;25825;0.000121007;0.00387222;0.456355;1.76711e-05;1.81087e+06
10;5.22879;0.387298;100;100;134394;2.32525e-05;0.000744081;2.3537;1.75135e-05;1.82717e+06
