snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-6.0206;1.41421;275;100;107;0.0803154;0.934579;0.00247417;2.31231e-05;1.3839e+06
1;-5.0206;1.26042;195;100;127;0.0479823;0.787402;0.00179264;1.41153e-05;2.26704e+06
2;-4.0206;1.12335;167;100;147;0.0355017;0.680272;0.00141215;9.60646e-06;3.33109e+06
3;-3.0206;1.00119;124;100;180;0.0215278;0.555556;0.00218062;1.21146e-05;2.64144e+06
4;-2.0206;0.892308;128;100;328;0.0121951;0.304878;0.00303486;9.25263e-06;3.45847e+06
5;-1.0206;0.795271;111;100;555;0.00625;0.18018;0.00552148;9.94862e-06;3.21653e+06
6;-0.0205999;0.708786;106;100;1072;0.00309002;0.0932836;0.00966673;9.01747e-06;3.54867e+06
7;0.9794;0.631706;101;100;2788;0.00113208;0.035868;0.022082;7.92036e-06;4.04022e+06
8;1.9794;0.563009;102;100;10489;0.00030389;0.0095338;0.0836526;7.97527e-06;4.01241e+06
9;2.9794;0.501782;101;100;45713;6.90449e-05;0.00218756;0.343271;7.50925e-06;4.26141e+06
10;3.9794;0.447214;100;100;192730;1.62144e-05;0.000518861;1.44155;7.47965e-06;4.27828e+06
11;4.9794;0.39858;100;100;1606898;1.94474e-06;6.22317e-05;11.8706;7.38729e-06;4.33176e+06
12;5.9794;0.355234;100;100;13681447;2.28412e-07;7.30917e-06;100.821;7.36919e-06;4.34241e+06
