snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-6.0206;1.41421;766;100;100;0.239375;1;0.00164102;1.64102e-05;1.95001e+06
1;-5.0206;1.26042;616;100;100;0.1925;1;0.00114493;1.14493e-05;2.79493e+06
2;-4.0206;1.12335;512;100;100;0.16;1;0.00127499;1.27499e-05;2.50982e+06
3;-3.0206;1.00119;365;100;103;0.11074;0.970874;0.00152907;1.48453e-05;2.15556e+06
4;-2.0206;0.892308;270;100;106;0.0795991;0.943396;0.00110931;1.04652e-05;3.05775e+06
5;-1.0206;0.795271;218;100;114;0.0597588;0.877193;0.00128063;1.12336e-05;2.84861e+06
6;-0.0205999;0.708786;156;100;150;0.0325;0.666667;0.001607;1.07133e-05;2.98694e+06
7;0.9794;0.631706;128;100;276;0.0144928;0.362319;0.00264468;9.58219e-06;3.33953e+06
8;1.9794;0.563009;106;100;421;0.00786817;0.23753;0.00380655;9.04167e-06;3.53917e+06
9;2.9794;0.501782;103;100;1133;0.00284091;0.0882613;0.00897232;7.91908e-06;4.04087e+06
10;3.9794;0.447214;100;100;3793;0.000823886;0.0263644;0.0289673;7.63704e-06;4.1901e+06
11;4.9794;0.39858;100;100;15768;0.000198186;0.00634196;0.118202;7.4963e-06;4.26878e+06
12;5.9794;0.355234;100;100;94265;3.31512e-05;0.00106084;0.704645;7.47515e-06;4.28085e+06
