snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;0;0.707107;250;100;109;0.0716743;0.917431;0.00107789;9.88894e-06;3.23594e+06
1;1;0.63021;232;100;113;0.0641593;0.884956;0.00083395;7.38009e-06;4.33599e+06
2;2;0.561675;171;101;140;0.0381696;0.721429;0.000955331;6.82379e-06;4.68947e+06
3;3;0.500593;147;100;180;0.0255208;0.555556;0.00112148;6.23045e-06;5.13607e+06
4;4;0.446154;121;100;279;0.0135529;0.358423;0.00172973;6.19974e-06;5.16151e+06
5;5;0.397635;112;100;556;0.00629496;0.179856;0.00363585;6.53929e-06;4.8935e+06
6;6;0.354393;104;100;1207;0.00269263;0.08285;0.00626791;5.19297e-06;6.16218e+06
7;7;0.315853;100;100;3498;0.000893368;0.0285878;0.0176412;5.04323e-06;6.34514e+06
8;8;0.281504;100;100;16441;0.000190074;0.00608236;0.0741707;4.51133e-06;7.09326e+06
9;9;0.250891;100;100;78860;3.96272e-05;0.00126807;0.346552;4.39453e-06;7.28179e+06
10;10;0.223607;100;100;813106;3.84329e-06;0.000122985;3.53975;4.35336e-06;7.35064e+06
