snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-6.0206;1.41421;753;100;100;0.235313;1;0.0019665;1.9665e-05;1.62725e+06
1;-5.0206;1.26042;615;100;100;0.192188;1;0.00140815;1.40815e-05;2.27249e+06
2;-4.0206;1.12335;468;102;102;0.143382;1;0.00142479;1.39685e-05;2.29087e+06
3;-3.0206;1.00119;375;100;103;0.113774;0.970874;0.00143698;1.39513e-05;2.2937e+06
4;-2.0206;0.892308;269;100;110;0.0764205;0.909091;0.00150431;1.36756e-05;2.33994e+06
5;-1.0206;0.795271;205;100;121;0.0529442;0.826446;0.00169683;1.40234e-05;2.2819e+06
6;-0.0205999;0.708786;148;100;171;0.0270468;0.584795;0.00240642;1.40727e-05;2.27391e+06
7;0.9794;0.631706;118;100;245;0.015051;0.408163;0.00268439;1.09567e-05;2.92059e+06
8;1.9794;0.563009;105;100;426;0.00770246;0.234742;0.00522944;1.22757e-05;2.60678e+06
9;2.9794;0.501782;102;100;1210;0.0026343;0.0826446;0.0139888;1.1561e-05;2.76793e+06
10;3.9794;0.447214;103;100;3595;0.000895341;0.0278164;0.0363678;1.01162e-05;3.16324e+06
