snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-3.0103;1;286;100;110;0.08125;0.909091;0.00361184;3.28349e-05;974572
1;-2.0103;0.891251;216;100;118;0.0572034;0.847458;0.00343318;2.90948e-05;1.09985e+06
2;-1.0103;0.794328;171;100;146;0.036601;0.684932;0.00452867;3.10183e-05;1.03165e+06
3;-0.0103;0.707946;143;100;211;0.0211789;0.473934;0.0060424;2.8637e-05;1.11744e+06
4;0.9897;0.630957;117;100;271;0.0134917;0.369004;0.00787567;2.90615e-05;1.10111e+06
5;1.9897;0.562341;113;100;505;0.00699257;0.19802;0.0137373;2.72026e-05;1.17636e+06
6;2.9897;0.501187;103;100;1270;0.00253445;0.0787402;0.0329134;2.59161e-05;1.23475e+06
7;3.9897;0.446684;101;100;4310;0.000732309;0.0232019;0.109315;2.5363e-05;1.26168e+06
8;4.9897;0.398107;100;100;16006;0.000195239;0.00624766;0.408165;2.55007e-05;1.25487e+06
9;5.9897;0.354813;100;100;82903;3.76947e-05;0.00120623;2.13897;2.58009e-05;1.24027e+06
10;6.9897;0.316228;100;100;700434;4.46152e-06;0.000142769;18.2129;2.60024e-05;1.23066e+06
