snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time;sim_thr
0;-4.77121;1.22474;291;100;107;0.0849883;0.934579;0.00448695;4.19341e-05;763102
1;-3.77121;1.09155;206;100;116;0.0554957;0.862069;0.00468881;4.04208e-05;791671
2;-2.77121;0.972849;166;100;141;0.0367908;0.70922;0.00576696;4.09005e-05;782387
3;-1.77121;0.867053;143;100;205;0.0217988;0.487805;0.00793511;3.87078e-05;826706
4;-0.771212;0.772762;126;100;316;0.0124604;0.316456;0.0121032;3.83012e-05;835484
5;0.228788;0.688725;112;100;539;0.00649351;0.185529;0.0203533;3.77613e-05;847429
6;1.22879;0.613827;111;100;944;0.00367452;0.105932;0.0347294;3.67897e-05;869809
7;2.22879;0.547073;102;100;2031;0.00156942;0.0492368;0.0722318;3.55647e-05;899770
8;3.22879;0.48758;100;100;8276;0.000377598;0.0120831;0.289325;3.49595e-05;915346
9;4.22879;0.434556;100;100;25287;0.000123581;0.0039546;0.879;3.4761e-05;920573
10;5.22879;0.387298;100;100;127935;2.44265e-05;0.000781647;4.40445;3.44273e-05;929496
11;6.22879;0.34518;100;100;820485;3.80872e-06;0.000121879;28.1787;3.43439e-05;931751
12;7.22879;0.307642;100;100;7892446;3.95948e-07;1.26703e-05;270.888;3.43224e-05;932335
