snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time
0;0;0.707107;262;100;106;0.0772406;0.943396;0.00178787;1.68667e-05
1;1;0.63021;222;100;117;0.0592949;0.854701;0.00182432;1.55925e-05
2;2;0.561675;180;100;127;0.0442913;0.787402;0.00198395;1.56216e-05
3;3;0.500593;140;100;171;0.0255848;0.584795;0.00267197;1.56256e-05
4;4;0.446154;118;100;322;0.0114519;0.310559;0.00460417;1.42987e-05
5;5;0.397635;112;100;607;0.00576606;0.164745;0.008001;1.31812e-05
6;6;0.354393;103;100;1123;0.00286621;0.0890472;0.0143935;1.2817e-05
7;7;0.315853;103;100;4406;0.000730538;0.0226963;0.0565293;1.28301e-05
8;8;0.281504;100;100;14783;0.000211391;0.00676453;0.189634;1.28279e-05
9;9;0.250891;100;100;88774;3.52017e-05;0.00112646;1.13868;1.28267e-05
10;10;0.223607;100;100;781600;3.99821e-06;0.000127943;10.0047;1.28003e-05
11;11;0.19929;100;100;11996808;2.60486e-07;8.33555e-06;153.465;1.27921e-05
12;12;0.177617;100;100;315780002;9.89613e-09;3.16676e-07;4040.56;1.27955e-05
