snr_bit;snr_symbol;sigma;be;fe;frame_cpt;ber;fer;time;frame_avg_time
0;-4.77121;1.22474;291;100;116;0.0783944;0.862069;0.00376262;3.24364e-05
1;-3.77121;1.09155;206;100;124;0.0519153;0.806452;0.00373138;3.00918e-05
2;-2.77121;0.972849;150;100;137;0.0342153;0.729927;0.00389094;2.8401e-05
3;-1.77121;0.867053;154;100;185;0.0260135;0.540541;0.00497392;2.68861e-05
4;-0.771212;0.772762;125;100;331;0.0118014;0.302115;0.00876822;2.64901e-05
5;0.228788;0.688725;116;100;587;0.00617547;0.170358;0.0154859;2.63814e-05
6;1.22879;0.613827;103;100;1319;0.0024403;0.075815;0.0348449;2.64177e-05
7;2.22879;0.547073;101;100;4609;0.000684801;0.0216967;0.121659;2.6396e-05
8;3.22879;0.48758;100;100;15874;0.000196863;0.00629961;0.419662;2.64371e-05
9;4.22879;0.434556;100;100;90257;3.46234e-05;0.00110795;2.38459;2.642e-05
10;5.22879;0.387298;100;100;750420;4.16433e-06;0.000133259;19.8185;2.64099e-05
11;6.22879;0.34518;100;100;12266010;2.54769e-07;8.15261e-06;323.918;2.64078e-05
12;7.22879;0.307642;100;100;328050524;9.52597e-09;3.04831e-07;8661.3;2.64023e-05
